location,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad,Hyderabad
lat,17.39359,17.39359,17.39359,17.39359,17.39359,17.39359
lon,78.46420,78.46420,78.46420,78.46420,78.46420,78.46420
asl,521.600,521.600,521.600,521.600,521.600,521.600
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Hyderabad Temperature [2 m elevation corrected],Hyderabad Precipitation Total,Hyderabad Relative Humidity [2 m],Hyderabad Mean Sea Level Pressure [MSL],Hyderabad Wind Speed [10 m],Hyderabad Wind Gust
20211012T1300,30.9829,0.0,41.0,1005.3,8.854829,6.4799995
20211012T1400,31.2629,0.0,38.0,1004.6,9.339208,7.2
20211012T1500,31.1229,0.0,39.0,1003.9,9.659814,7.92
20211012T1600,30.7429,0.0,40.0,1004.2,9.511088,8.28
20211012T1700,29.9029,0.0,43.0,1004.8,7.5942082,7.92
20211012T1800,28.4929,0.0,50.0,1005.5,9.19939,9.0
20211012T1900,27.1829,0.0,57.0,1006.9,7.5942082,12.959999
20211012T2000,26.082901,0.0,62.0,1007.8,5.3517847,12.24
20211012T2100,25.1329,0.0,69.0,1008.8,3.9763298,10.440001
20211012T2200,24.6829,0.0,70.0,1008.4,4.510787,9.36
20211012T2300,24.332901,0.0,71.0,1007.8,6.1305785,9.36
20211013T0000,23.7129,0.0,74.0,1007.3,6.638072,9.72
20211013T0100,23.0929,0.0,76.0,1006.8,6.638072,9.72
20211013T0200,22.5229,0.0,79.0,1006.3,7.145796,10.799999
20211013T0300,21.9529,0.0,82.0,1005.8,7.491114,12.959999
20211013T0400,21.6129,0.0,84.0,1006.5,6.989936,12.599999
20211013T0500,21.3929,0.0,85.0,1007.3,6.696387,12.959999
20211013T0600,21.6429,0.0,83.0,1007.9,6.5693827,12.599999
20211013T0700,23.2729,0.0,79.0,1008.9,4.68,11.879999
