location,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai,Mumbai
lat,19.04972,19.04972,19.04972,19.04972,19.04972,19.04972
lon,72.87594,72.87594,72.87594,72.87594,72.87594,72.87594
asl,6.200,6.200,6.200,6.200,6.200,6.200
variable,Temperature,Precipitation Total,Relative Humidity,Mean Sea Level Pressure,Wind Speed,Wind Gust
unit,°C,mm,%,hPa,km/h,km/h
level,2 m elevation corrected,sfc,2 m,MSL,10 m,sfc
resolution,hourly,hourly,hourly,hourly,hourly,hourly
aggregation,None,None,None,None,None,None
timestamp,Mumbai Temperature [2 m elevation corrected],Mumbai Precipitation Total,Mumbai Relative Humidity [2 m],Mumbai Mean Sea Level Pressure [MSL],Mumbai Wind Speed [10 m],Mumbai Wind Gust
20211014T0900,30.6483,0.0,56.0,1007.3,5.8603754,7.5599995
20211014T1000,32.478302,0.0,49.0,1007.2,1.9386592,3.6
20211014T1100,33.8983,0.0,45.0,1006.3,2.3051248,9.0
20211014T1200,34.7783,0.0,41.0,1005.8,3.563818,10.440001
20211014T1300,35.3983,0.0,38.0,1004.9,5.3999996,11.159999
20211014T1400,35.1283,0.0,42.0,1004.1,10.009036,14.4
20211014T1500,33.8283,0.0,49.0,1003.5,16.075521,18.0
20211014T1600,32.5583,0.0,53.0,1003.6,18.472595,19.44
20211014T1700,31.608301,0.0,56.0,1004.1,17.373497,22.68
20211014T1800,30.4883,0.0,64.0,1004.3,8.39657,22.68
20211014T1900,30.1183,0.0,68.0,1004.8,7.145796,17.64
20211014T2000,29.8283,0.0,72.0,1005.1,6.989936,16.919998
20211014T2100,29.528301,0.0,77.0,1005.6,5.634891,18.0
20211014T2200,29.108301,0.0,80.0,1005.4,4.5536795,17.64
20211014T2300,28.6483,0.0,82.0,1004.7,4.379589,18.72
20211015T0000,28.278301,0.0,84.0,1003.9,4.2136917,16.199999
20211015T0100,27.858301,0.0,86.0,1003.5,5.1165614,15.4800005
20211015T0200,27.2383,0.0,89.0,1003.1,6.439876,14.04
20211015T0300,26.6783,0.0,91.0,1002.8,6.6087217,13.32
20211015T0400,26.188301,0.0,91.0,1002.8,6.792466,13.32
20211015T0500,25.6983,0.0,91.0,1003.6,7.5942082,12.959999
20211015T0600,25.5783,0.0,86.0,1004.0,9.659814,12.959999
20211015T0700,26.3683,0.0,79.0,1004.6,9.565437,13.32
20211015T0800,28.8383,0.0,68.0,1005.0,9.659814,12.599999
20211015T0900,31.0483,0.0,58.0,1005.3,6.830519,9.0
20211015T1000,32.7783,0.0,52.0,1004.8,4.802999,5.3999996
